Wind Power Multiplier (MW),Installed Solar (MW),Installed Battery (MW),Renewable Energy (%),Cost ($/MWh)
4.45,85000,0,0.979822139,52.00401555
4.45,85000,1,0.979822139,52.00401825
4.45,85000,0,0.979822139,52.00401555
4.45,85000,1,0.979822139,52.00401825
4.45025,85000,0,0.979823288,52.00422808
4.45025,85000,1,0.979823288,52.00423077
4.45025,85000,0,0.979823288,52.00422808
4.45025,85000,1,0.979823288,52.00423077
4.4505,85000,0,0.979824436,52.0044406
4.4505,85000,1,0.979824436,52.0044433
4.4505,85000,0,0.979824436,52.0044406
4.4505,85000,1,0.979824436,52.0044433
4.45075,85000,0,0.979825584,52.00465313
4.45075,85000,1,0.979825584,52.00465583
4.45075,85000,0,0.979825584,52.00465313
4.45075,85000,1,0.979825584,52.00465583
4.451,85000,0,0.979826733,52.00486566
4.451,85000,1,0.979826733,52.00486835
4.451,85000,0,0.979826733,52.00486566
4.451,85000,1,0.979826733,52.00486835
4.45125,85000,0,0.979827881,52.00507818
4.45125,85000,1,0.979827881,52.00508088
4.45125,85000,0,0.979827881,52.00507818
4.45125,85000,1,0.979827881,52.00508088
4.4515,85000,0,0.979829029,52.00529071
4.4515,85000,1,0.979829029,52.0052934
4.4515,85000,0,0.979829029,52.00529071
4.4515,85000,1,0.979829029,52.0052934
4.45175,85000,0,0.979830178,52.00550323
4.45175,85000,1,0.979830178,52.00550593
4.45175,85000,0,0.979830178,52.00550323
4.45175,85000,1,0.979830178,52.00550593
4.452,85000,0,0.979831326,52.00571576
4.452,85000,1,0.979831326,52.00571845
4.452,85000,0,0.979831326,52.00571576
4.452,85000,1,0.979831326,52.00571845
4.45225,85000,0,0.979832475,52.00592829
4.45225,85000,1,0.979832475,52.00593098
4.45225,85000,0,0.979832475,52.00592829
4.45225,85000,1,0.979832475,52.00593098
4.4525,85000,0,0.979833623,52.00614081
4.4525,85000,1,0.979833623,52.00614351
4.4525,85000,0,0.979833623,52.00614081
4.4525,85000,1,0.979833623,52.00614351
4.45275,85000,0,0.979834771,52.00635334
4.45275,85000,1,0.979834771,52.00635603
4.45275,85000,0,0.979834771,52.00635334
4.45275,85000,1,0.979834771,52.00635603
4.453,85000,0,0.97983592,52.00656586
